0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:45 +0900] "GET /board_ex09/board/list?type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 200 7649
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:45 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:14 +0900] "GET /board_ex09/board/list?type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 200 7664
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:14 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:14 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7524
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:14 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:18 +0900] "GET /board_ex09/board/list?type=W&keyword=%EC%B9%A8%ED%8E%AD HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:18 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:21 +0900] "GET /board_ex09/board/list?type=W&keyword=%EC%B9%A8%ED%8E%AD HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:36:21 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
